2025-08-18 15:11:13,186 | INFO | telethon.crypto.libssl | Failed to load SSL library: <class 'OSError'> (no library called "ssl" found)
2025-08-18 15:11:13,187 | INFO | telethon.crypto.aes | cryptg module not installed and libssl not found, falling back to (slower) Python encryption
2025-08-18 15:11:13,501 | DEBUG | asyncio | Using proactor: IocpProactor
2025-08-18 15:11:13,611 | DEBUG | aiosqlite | executing <function connect.<locals>.connector at 0x000001ACE12787C0>
2025-08-18 15:11:13,613 | DEBUG | aiosqlite | operation <function connect.<locals>.connector at 0x000001ACE12787C0> completed
2025-08-18 15:11:13,613 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE11B7A60>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001ACE0029B20>, deterministic=True)
2025-08-18 15:11:13,613 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE11B7A60>, 'regexp', 2, <function SQLiteDialect_pysqlite.on_connect.<locals>.regexp at 0x000001ACE0029B20>, deterministic=True) completed
2025-08-18 15:11:13,614 | DEBUG | aiosqlite | executing functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE11B7A60>, 'floor', 1, <built-in function floor>, deterministic=True)
2025-08-18 15:11:13,614 | DEBUG | aiosqlite | operation functools.partial(<built-in method create_function of sqlite3.Connection object at 0x000001ACE11B7A60>, 'floor', 1, <built-in function floor>, deterministic=True) completed
2025-08-18 15:11:13,615 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:13,616 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:13,616 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274A40>, 'PRAGMA read_uncommitted', [])
2025-08-18 15:11:13,617 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274A40>, 'PRAGMA read_uncommitted', []) completed
2025-08-18 15:11:13,617 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274A40>)
2025-08-18 15:11:13,617 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274A40>) completed
2025-08-18 15:11:13,618 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274A40>)
2025-08-18 15:11:13,619 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274A40>) completed
2025-08-18 15:11:13,620 | DEBUG | aiosqlite | executing functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:13,621 | DEBUG | aiosqlite | operation functools.partial(<built-in method rollback of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:13,622 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:13,622 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:13,623 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("accounts")', ())
2025-08-18 15:11:13,624 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("accounts")', ()) completed
2025-08-18 15:11:13,624 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274AC0>)
2025-08-18 15:11:13,624 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274AC0>) completed
2025-08-18 15:11:13,625 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274AC0>)
2025-08-18 15:11:13,625 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274AC0>) completed
2025-08-18 15:11:13,626 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:13,626 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:13,626 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("templates")', ())
2025-08-18 15:11:13,627 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("templates")', ()) completed
2025-08-18 15:11:13,627 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274AC0>)
2025-08-18 15:11:13,627 | DEBUG | aiosqlite | operation functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274AC0>) completed
2025-08-18 15:11:13,628 | DEBUG | aiosqlite | executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274AC0>)
2025-08-18 15:11:13,628 | DEBUG | aiosqlite | operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x000001ACE1274AC0>) completed
2025-08-18 15:11:13,628 | DEBUG | aiosqlite | executing functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>)
2025-08-18 15:11:13,628 | DEBUG | aiosqlite | operation functools.partial(<built-in method cursor of sqlite3.Connection object at 0x000001ACE11B7A60>) completed
2025-08-18 15:11:13,629 | DEBUG | aiosqlite | executing functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("jobs")', ())
2025-08-18 15:11:13,629 | DEBUG | aiosqlite | operation functools.partial(<built-in method execute of sqlite3.Cursor object at 0x000001ACE1274AC0>, 'PRAGMA main.table_info("jobs")', ()) completed
2025-08-18 15:11:13,629 | DEBUG | aiosqlite | executing functools.partial(<built-in method fetchall of sqlite3.Cursor object at 0x000001ACE1274AC0>)
